new meter diffuser on input,,,,,,,,,,,
Oct 22 2021 14:35:00,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
10,99013.80469,99015.54688,99007.72656,98994.57813,211,-1.74,6.08,19.23,7.82,20.97,13.15
Oct 22 2021 16:00:47,flow rate=0.40,N=5,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99067.85156,99055.25781,99046.41406,98992.64063,9,12.59,21.44,75.21,8.84,62.62,53.77
2,99067.71875,99054.89844,99046.50781,98992.625,154,12.82,21.21,75.09,8.39,62.27,53.88
3,99067.85938,99055.20313,99046.19531,98992.38281,207,12.66,21.66,75.48,9.01,62.82,53.81
4,99067.74219,99055.14063,99046.28125,98992.57031,212,12.6,21.46,75.17,8.86,62.57,53.71
5,99067.90625,99055.60156,99046.4375,98992.69531,203,12.3,21.47,75.21,9.16,62.91,53.74
mu,54.484375,40.15625,39.257812,-1.398438,194,,,,,,
sd,0.07301,0.158448,0.138658,0.118482,26.92,,,,,,
Q,0.494646,0.338624,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 22 2021 16:03:56,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99014.15625,99016.0625,99008.29688,98995.35938,14,-1.91,5.86,18.8,7.77,20.7,12.94
2,99014.52344,99016.03125,99008.40625,98995.46875,201,-1.51,6.12,19.05,7.62,20.56,12.94
3,99014.46094,99016.1875,99008.26563,98995.39063,207,-1.73,6.2,19.07,7.92,20.8,12.88
4,99014.64844,99016.10938,99008.59375,98995.42969,208,-1.46,6.05,19.22,7.52,20.68,13.16
5,99014.61719,99016.0625,99008.36719,98995.35938,207,-1.45,6.25,19.26,7.7,20.7,13.01
6,99014.60156,99016.25,99008.33594,98995.59375,208,-1.65,6.27,19.01,7.91,20.66,12.74
7,99014.63281,99016.10156,99008.39063,98995.4375,207,-1.47,6.24,19.2,7.71,20.66,12.95
8,99014.64063,99016.16406,99008.19531,98995.53906,207,-1.52,6.45,19.1,7.97,20.62,12.66
9,99014.64844,99016.03125,99008.46875,98995.28906,207,-1.38,6.18,19.36,7.56,20.74,13.18
10,99014.82031,99016.35156,99008.54688,98995.375,211,-1.53,6.27,19.45,7.8,20.98,13.17
Oct 22 2021 16:03:56,flow rate=0.40,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99070.39063,99057.76563,99049.11719,98995.8125,10,12.63,21.27,74.58,8.65,61.95,53.3
2,99070.73438,99057.5,99049.13281,98995.72656,143,13.23,21.6,75.01,8.37,61.77,53.41
3,99070.77344,99058.32031,99049.375,98995.58594,207,12.45,21.4,75.19,8.95,62.73,53.79
4,99070.35156,99057.85938,99048.89844,98995.64844,211,12.49,21.45,74.7,8.96,62.21,53.25
5,99070.95313,99057.57813,99049.07813,98995.63281,204,13.38,21.87,75.32,8.5,61.95,53.45
6,99071.03125,99058.21094,99049.35156,98995.42188,164,12.82,21.68,75.61,8.86,62.79,53.93
7,99070.69531,99058.03125,99049.3125,98995.39844,207,12.66,21.38,75.3,8.72,62.63,53.91
8,99071.50781,99057.72656,99048.70313,98995.35156,207,13.78,22.8,76.16,9.02,62.38,53.35
9,99071.19531,99058.48438,99049.49219,98995.45313,207,12.71,21.7,75.74,8.99,63.03,54.04
10,99071.1875,99058.42188,99049.42969,98995.70313,208,12.77,21.76,75.48,8.99,62.72,53.73
mu,56.109375,41.765625,40.742187,0.28125,191.25,,,,,,
sd,0.222165,0.341762,0.194791,0.098098,32.29,,,,,,
Q,0.494915,0.337242,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 22 2021 16:04:34,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99015.42969,99017.19531,99009.30469,98996.63281,10,-1.77,6.12,18.8,7.89,20.56,12.67
2,99015.35938,99017.19531,99009.4375,98996.64844,152,-1.84,5.92,18.71,7.76,20.55,12.79
3,99015.50781,99017.24219,99009.35156,98996.64063,208,-1.73,6.16,18.87,7.89,20.6,12.71
4,99015.5625,99017.28125,99009.36719,98996.54688,207,-1.72,6.2,19.02,7.91,20.73,12.82
5,99015.33594,99017.27344,99009.24219,98996.39063,207,-1.94,6.09,18.95,8.03,20.88,12.85
6,99015.53125,99017.125,99009.45313,98996.39063,207,-1.59,6.08,19.14,7.67,20.73,13.06
7,99015.14844,99017.13281,99009.28125,98996.27344,208,-1.98,5.87,18.87,7.85,20.86,13.01
8,99015.10938,99017.16406,99009.125,98996.17969,207,-2.05,5.98,18.93,8.04,20.98,12.95
9,99015.00781,99017.04688,99009.29688,98996.07031,208,-2.04,5.71,18.94,7.75,20.98,13.23
10,99015.08594,99017.07031,99009.33594,98996.1875,207,-1.98,5.75,18.9,7.73,20.88,13.15
Oct 22 2021 16:04:34,flow rate=0.40,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99071.29688,99058.57031,99049.76563,98995.63281,10,12.73,21.53,75.66,8.8,62.94,54.13
2,99071.22656,99058.3125,99049.51563,98995.67969,172,12.91,21.71,75.55,8.8,62.63,53.84
3,99071.05469,99058.28125,99049.60156,98995.66406,208,12.77,21.45,75.39,8.68,62.62,53.94
4,99071.16406,99058.27344,99049.67188,98995.58594,207,12.89,21.49,75.58,8.6,62.69,54.09
5,99071.67188,99058.45313,99049.69531,98995.73438,207,13.22,21.98,75.94,8.76,62.72,53.96
6,99071.83594,99058.26563,99049.80469,98995.66406,208,13.57,22.03,76.17,8.46,62.6,54.14
7,99071.26563,99058.36719,99049.73438,98995.80469,211,12.9,21.53,75.46,8.63,62.56,53.93
8,99071.67188,99058.5625,99049.8125,98995.78906,204,13.11,21.86,75.88,8.75,62.77,54.02
9,99071.29688,99058.67969,99049.72656,98995.59375,207,12.62,21.57,75.7,8.95,63.09,54.13
10,99072.01563,99058.72656,99049.48438,98995.82031,207,13.29,22.53,76.2,9.24,62.91,53.66
11,99071.55469,99058.19531,99049.28906,98995.75781,208,13.36,22.27,75.8,8.91,62.44,53.53
12,99070.82031,99057.49219,99049.04688,98995.29688,207,13.33,21.77,75.52,8.45,62.2,53.75
13,99070.4375,99057.8125,99048.92188,98995.07813,208,12.63,21.52,75.36,8.89,62.73,53.84
14,99071.3125,99058.32813,99049.41406,98995.03906,207,12.98,21.9,76.27,8.91,63.29,54.38
15,99070.83594,99057.99219,99049.15625,98995.01563,208,12.84,21.68,75.82,8.84,62.98,54.14
mu,55.726562,41.132812,40.273437,-0.984375,198.5,,,,,,
sd,0.102757,0.141634,0.10607,0.04134,17.67,,,,,,
Q,0.49921,0.342443,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on input,,,,,,,,,,,
Oct 22 2021 16:30:13,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99097.10938,99004.21875,98996.08594,98988.55469,14,92.89,101.02,108.55,8.13,15.66,7.53
2,99096.89844,99003.74219,98995.65625,98988.13281,192,93.16,101.24,108.77,8.09,15.61,7.52
3,99096.75781,99003.8125,98995.59375,98988.14063,208,92.95,101.16,108.62,8.22,15.67,7.45
4,99096.75781,99003.66406,98995.3125,98987.85156,207,93.09,101.45,108.91,8.35,15.81,7.46
5,99096.39844,99003.58594,98995.16406,98987.59375,212,92.81,101.23,108.8,8.42,15.99,7.57
6,99096.35156,99003.38281,98995.07031,98987.71094,204,92.97,101.28,108.64,8.31,15.67,7.36
7,99096.22656,99003.63281,98995.01563,98987.54688,207,92.59,101.21,108.68,8.62,16.09,7.47
8,99096.05469,99003.35156,98994.89844,98987.26563,208,92.7,101.16,108.79,8.45,16.09,7.63
9,99096.17969,99003.42969,98994.84375,98987.39844,208,92.75,101.34,108.78,8.59,16.03,7.45
10,99096.29688,99003.53906,98994.92969,98987.36719,208,92.76,101.37,108.93,8.61,16.17,7.56
Oct 22 2021 16:30:13,flow rate=0.38,N=5,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99145.23438,99038.23438,99029.66406,98988.71875,10,107,115.57,156.52,8.57,49.52,40.95
2,99145.03125,99038.33594,99030.03125,98988.60938,175,106.7,115,156.42,8.3,49.73,41.42
3,99145.42969,99038.57813,99029.82813,98988.52344,207,106.85,115.6,156.91,8.75,50.05,41.3
4,99145.39063,99037.82031,99029.86719,98988.42188,207,107.57,115.52,156.97,7.95,49.4,41.45
5,99145.46094,99037.96094,99029.66406,98988.67969,206,107.5,115.8,156.78,8.3,49.28,40.98
mu,48.390625,34.375,34.179687,0.398438,198.75,,,,,,
sd,0.181153,0.316189,0.150817,0.126376,15.84,,,,,,
Q,0.489222,0.343513,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on input,,,,,,,,,,,
Oct 22 2021 16:32:01,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99095.98438,99003,98994.71094,98986.77344,9,92.98,101.27,109.21,8.29,16.23,7.94
2,99096.44531,99003.125,98994.89063,98986.84375,203,93.32,101.55,109.6,8.23,16.28,8.05
3,99096.40625,99003.28125,98994.98438,98986.96875,206,93.12,101.42,109.44,8.3,16.31,8.02
4,99096.46875,99003.40625,98994.85938,98986.95313,207,93.06,101.61,109.52,8.55,16.45,7.91
5,99096.53125,99003.48438,98994.84375,98986.91406,206,93.05,101.69,109.62,8.64,16.57,7.93
6,99096.42969,99003.44531,98995.00781,98987.01563,207,92.98,101.42,109.41,8.44,16.43,7.99
7,99096.47656,99003.58594,98994.98438,98987.21094,210,92.89,101.49,109.27,8.6,16.37,7.77
8,99096.47656,99003.54688,98994.94531,98986.90625,203,92.93,101.53,109.57,8.6,16.64,8.04
9,99102.375,99004.71094,98996.04688,98987,206,97.66,106.33,115.37,8.66,17.71,9.05
10,99123.1875,99011.20313,99003.3125,98987.20313,207,111.98,119.87,135.98,7.89,24,16.11
Oct 22 2021 16:32:01,flow rate=0.38,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99144.03125,99037.08594,99028.70313,98987.25781,13,106.95,115.33,156.77,8.38,49.83,41.45
2,99144.03125,99036.88281,99028.44531,98987.34375,97,107.15,115.59,156.69,8.44,49.54,41.1
3,99144,99036.75781,99028.3125,98987.125,208,107.24,115.69,156.87,8.45,49.63,41.19
4,99144.47656,99037.14063,99029.0625,98987.17969,208,107.34,115.41,157.3,8.08,49.96,41.88
5,99144.17188,99036.79688,99028.71094,98987.20313,208,107.37,115.46,156.97,8.09,49.59,41.51
6,99144.57813,99036.77344,99028.42188,98987.16406,212,107.8,116.16,157.41,8.35,49.61,41.26
7,99144.03906,99037.35156,99028.95313,98987.14844,204,106.69,115.09,156.89,8.4,50.2,41.8
8,99143.46875,99036.49219,99028.85156,98987.1875,208,106.98,114.62,156.28,7.64,49.3,41.66
9,99144.04688,99036.72656,99029.03125,98987.28906,208,107.32,115.02,156.76,7.7,49.44,41.74
10,99144.23438,99037.08594,99028.79688,98987.22656,208,107.15,115.44,157.01,8.29,49.86,41.57
mu,47.804687,33.765625,33.773437,0.335938,180.25,,,,,,
sd,0.228351,0.178095,0.330319,0.095257,55.5,,,,,,
Q,0.489631,0.346317,0.01155,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on input,,,,,,,,,,,
Oct 22 2021 16:34:28,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99094.94531,99002.58594,98993.78906,98986.39844,9,92.36,101.16,108.55,8.8,16.19,7.39
2,99095.17969,99002.55469,98993.86719,98986.27344,143,92.62,101.31,108.91,8.69,16.28,7.59
3,99095.28906,99002.60938,98993.78125,98986.17969,209,92.68,101.51,109.11,8.83,16.43,7.6
4,99095.07031,99002.32813,98993.54688,98986.09375,208,92.74,101.52,108.98,8.78,16.23,7.45
5,99095.19531,99002.38281,98993.75,98986.1875,208,92.81,101.45,109.01,8.63,16.2,7.56
6,99094.98438,99002.30469,98993.57813,98986.01563,208,92.68,101.41,108.97,8.73,16.29,7.56
7,99094.99219,99002.10938,98993.72656,98986.1875,208,92.88,101.27,108.8,8.38,15.92,7.54
8,99094.92188,99002.10156,98993.5,98986.03906,208,92.82,101.42,108.88,8.6,16.06,7.46
9,99095.02344,99002.23438,98993.625,98986.08594,212,92.79,101.4,108.94,8.61,16.15,7.54
10,99094.82031,99002.05469,98993.63281,98985.96094,204,92.77,101.19,108.86,8.42,16.09,7.67
Oct 22 2021 16:34:28,flow rate=0.38,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99142.17969,99035.82813,99027.34375,98986.5,10,106.35,114.84,155.68,8.48,49.33,40.84
2,99142.50781,99035.78906,99027.41406,98986.49219,205,106.72,115.09,156.02,8.38,49.3,40.92
3,99142.35938,99035.64844,99027.54688,98986.42188,211,106.71,114.81,155.94,8.1,49.23,41.13
4,99142.58594,99035.76563,99027.17188,98986.42969,204,106.82,115.41,156.16,8.59,49.34,40.74
5,99142.45313,99035.89063,99027.50781,98986.49219,208,106.56,114.95,155.96,8.38,49.4,41.02
6,99141.51563,99035.02344,99027.9375,98986.79688,208,106.49,113.58,154.72,7.09,48.23,41.14
7,99141.17188,99034.78906,99026.16406,98985.58594,207,106.38,115.01,155.59,8.63,49.2,40.58
8,99142.33594,99035.58594,99027.77344,98986.86719,212,106.75,114.56,155.47,7.81,48.72,40.91
9,99142,99035.19531,99027.4375,98986.35938,203,106.8,114.56,155.64,7.76,48.84,41.08
10,99142.5625,99035.78906,99027.03906,98986.4375,208,106.77,115.52,156.12,8.75,49.35,40.6
11,99142.73438,99035.57031,99027.14063,98986.0625,208,107.16,115.59,156.67,8.43,49.51,41.08
12,99141.39063,99034.74219,99027.11719,98986.10156,208,106.65,114.27,155.29,7.62,48.64,41.02
13,99142.24219,99035.1875,99027.46094,98986.35938,208,107.05,114.78,155.88,7.73,48.83,41.1
14,99142.24219,99035.34375,99027.14063,98986.36719,207,106.9,115.1,155.87,8.2,48.98,40.77
15,99142.03906,99035.10156,99027.10938,98986.24219,208,106.94,114.93,155.8,7.99,48.86,40.87
mu,47.296875,33.25,33.625,0.234375,207,,,,,,
sd,0.17912,0.077864,0.156315,0.041829,3.16,,,,,,
Q,0.489767,0.35091,0.080023,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on output,,,,,,,,,,,
Oct 22 2021 16:37:00,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,98995.78906,99003.71875,99096.73438,98987.89844,13,-7.93,-100.95,7.89,-93.02,15.82,108.84
2,98996.00781,99003.98438,99096.61719,98987.82813,172,-7.98,-100.61,8.18,-92.63,16.16,108.79
3,98995.92969,99003.84375,99096.77344,98987.89844,208,-7.91,-100.84,8.03,-92.93,15.95,108.87
4,98996.24219,99004.125,99096.59375,98988,208,-7.88,-100.35,8.24,-92.47,16.12,108.59
5,98996,99004.07813,99096.58594,98987.83594,208,-8.08,-100.59,8.16,-92.51,16.24,108.75
6,98996.07813,99004.0625,99096.4375,98988.00781,211,-7.98,-100.36,8.07,-92.37,16.05,108.43
7,98996.13281,99004.13281,99096.46875,98987.95313,204,-8,-100.34,8.18,-92.34,16.18,108.52
8,98996.03906,99004.07031,99096.53906,98987.82031,208,-8.03,-100.5,8.22,-92.47,16.25,108.72
9,98996.04688,99004.00781,99096.74219,98987.89844,208,-7.96,-100.7,8.15,-92.73,16.11,108.84
10,98996.10938,99003.92188,99096.57031,98987.88281,207,-7.81,-100.46,8.23,-92.65,16.04,108.69
Oct 22 2021 16:37:00,flow rate=0.38,N=5,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99040.875,99036.10938,99127.67188,98987.92969,13,4.77,-86.8,52.95,-91.56,48.18,139.74
2,99041.51563,99036.38281,99127.80469,98987.66406,184,5.13,-86.29,53.85,-91.42,48.72,140.14
3,99041.89844,99036.32031,99127.85156,98987.75781,208,5.58,-85.95,54.14,-91.53,48.56,140.09
4,99040.75781,99036,99127.625,98987.69531,207,4.76,-86.87,53.06,-91.62,48.3,139.93
5,99042.30469,99035.71875,99127.63281,98987.72656,212,6.59,-85.33,54.58,-91.91,47.99,139.91
mu,45.265625,32.28125,31.054687,-0.148437,202.75,,,,,,
sd,0.539572,0.17895,0.107309,0.118654,12.69,,,,,,
Q,0.47088,0.316846,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on output,,,,,,,,,,,
Oct 22 2021 16:37:35,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,98995.27344,99003.03125,99095.80469,98987.28906,9,-7.76,-100.53,7.98,-92.77,15.74,108.52
2,98995.32813,99003.03125,99095.75781,98987.33594,173,-7.7,-100.43,7.99,-92.73,15.7,108.42
3,98995.5625,99002.97656,99095.80469,98987.29688,204,-7.41,-100.24,8.27,-92.83,15.68,108.51
4,98995.64063,99003.125,99095.97656,98987.30469,208,-7.48,-100.34,8.34,-92.85,15.82,108.67
5,98995.61719,99003.14063,99095.98438,98987.375,208,-7.52,-100.37,8.24,-92.84,15.77,108.61
6,98995.54688,99002.97656,99095.97656,98987.44531,208,-7.43,-100.43,8.1,-93,15.53,108.53
7,98995.73438,99002.98438,99095.78125,98987.38281,208,-7.25,-100.05,8.35,-92.8,15.6,108.4
8,98995.71094,99003.125,99095.91406,98987.28906,208,-7.41,-100.2,8.42,-92.79,15.84,108.62
9,98995.57813,99003.09375,99095.76563,98987.30469,208,-7.52,-100.19,8.27,-92.67,15.79,108.46
10,98995.41406,99003.0625,99095.84375,98987.42188,208,-7.65,-100.43,7.99,-92.78,15.64,108.42
Oct 22 2021 16:37:35,flow rate=0.38,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99040.16406,99035.77344,99126.625,98987.10938,9,4.39,-86.46,53.05,-90.85,48.66,139.52
2,99040.75,99035.60938,99126.92969,98986.89844,193,5.14,-86.18,53.85,-91.32,48.71,140.03
3,99041.64844,99035.6875,99126.82031,98987.13281,208,5.96,-85.17,54.52,-91.13,48.55,139.69
4,99041.42188,99035.44531,99126.60156,98986.99219,208,5.98,-85.18,54.43,-91.16,48.45,139.61
5,99040.82813,99035.52344,99126.71875,98987.16406,207,5.3,-85.89,53.66,-91.2,48.36,139.55
6,99040.83594,99035.3125,99126.75,98987.04688,208,5.52,-85.91,53.79,-91.44,48.27,139.7
7,99041.25781,99035.375,99127.30469,98986.99219,208,5.88,-86.05,54.27,-91.93,48.38,140.31
8,99040.6875,99035.20313,99126.66406,98987.10938,208,5.48,-85.98,53.58,-91.46,48.09,139.55
9,99041.25,99035.46094,99126.74219,98986.9375,208,5.79,-85.49,54.31,-91.28,48.52,139.8
10,99040.8125,99035.39844,99126.1875,98986.95313,208,5.41,-85.37,53.86,-90.79,48.45,139.23
mu,45.546875,32.585937,30.90625,-0.28125,204,,,,,,
sd,0.673236,0.139609,0.157869,0.108909,7.35,,,,,,
Q,0.470455,0.310358,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on output,,,,,,,,,,,
Oct 22 2021 16:38:37,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,98992.61719,99000.86719,99093.73438,98985.19531,9,-8.25,-101.12,7.42,-92.87,15.67,108.54
2,98992.65625,99000.90625,99093.72656,98985.32031,208,-8.25,-101.07,7.34,-92.82,15.59,108.41
3,98992.89844,99000.95313,99093.82813,98985.375,207,-8.05,-100.93,7.52,-92.87,15.58,108.45
4,98993.00781,99000.77344,99093.63281,98985.19531,211,-7.77,-100.62,7.81,-92.86,15.58,108.44
5,98992.92188,99000.88281,99093.71094,98985.09375,202,-7.96,-100.79,7.83,-92.83,15.79,108.62
6,98992.78125,99000.92969,99093.64063,98985.28906,207,-8.15,-100.86,7.49,-92.71,15.64,108.35
7,98993.05469,99000.91406,99093.75,98985.28125,206,-7.86,-100.7,7.77,-92.84,15.63,108.47
8,98993.05469,99000.75,99093.98438,98985.33594,207,-7.7,-100.93,7.72,-93.23,15.41,108.65
9,98993.16406,99001.01563,99093.71875,98985.48438,206,-7.85,-100.55,7.68,-92.7,15.53,108.23
10,98993.14844,99001.03906,99094.01563,98985.61719,207,-7.89,-100.87,7.53,-92.98,15.42,108.4
Oct 22 2021 16:38:37,flow rate=0.38,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99040.55469,99035.49219,99126.44531,98986.32031,10,5.06,-85.89,54.23,-90.95,49.17,140.12
2,99040.60156,99035.33594,99126.64844,98986.38281,195,5.27,-86.05,54.22,-91.31,48.95,140.27
3,99039.875,99034.55469,99126.03906,98986.45313,211,5.32,-86.16,53.42,-91.48,48.1,139.59
4,99040.57813,99034.96875,99126.24219,98986.39063,202,5.61,-85.66,54.19,-91.27,48.58,139.85
5,99040.72656,99035.375,99126.69531,98986.375,207,5.35,-85.97,54.35,-91.32,49,140.32
6,99039.96875,99034.90625,99126.6875,98986.36719,207,5.06,-86.72,53.6,-91.78,48.54,140.32
7,99040.41406,99034.8125,99126.03125,98986.64844,206,5.6,-85.62,53.77,-91.22,48.16,139.38
8,99040.0625,99034.89063,99126.28906,98986.42969,207,5.17,-86.23,53.63,-91.4,48.46,139.86
9,99040.90625,99035.29688,99126.23438,98986.50781,206,5.61,-85.33,54.4,-90.94,48.79,139.73
10,99040.61719,99035.64844,99126.85938,98986.49219,207,4.97,-86.24,54.13,-91.21,49.16,140.37
11,99040.23438,99035.44531,99126.6875,98986.30469,207,4.79,-86.45,53.93,-91.24,49.14,140.38
12,99041.10156,99035.32031,99126.6875,98986.4375,207,5.78,-85.59,54.66,-91.37,48.88,140.25
13,99040.51563,99035,99126.55469,98986.67969,206,5.52,-86.04,53.84,-91.55,48.32,139.87
14,99041.00781,99034.46875,99126.25,98986.27344,207,6.54,-85.24,54.73,-91.78,48.2,139.98
15,99040.03125,99034.46875,99125.78906,98985.71875,207,5.56,-85.76,54.31,-91.32,48.75,140.07
mu,47.609375,34.203125,32.609375,1.125,203.75,,,,,,
sd,0.352112,0.417731,0.262233,0.054501,6.9,,,,,,
Q,0.478468,0.317582,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on output,,,,,,,,,,,
Oct 22 2021 16:41:08,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,98992.6875,99000.52344,99093.1875,98985.04688,13,-7.84,-100.5,7.64,-92.66,15.48,108.14
2,98992.57031,99000.47656,99093.03906,98985.10156,176,-7.91,-100.47,7.47,-92.56,15.38,107.94
3,98992.84375,99000.44531,99093.13281,98985.08594,208,-7.6,-100.29,7.76,-92.69,15.36,108.05
4,98992.95313,99000.48438,99093.42969,98985.01563,208,-7.53,-100.48,7.94,-92.95,15.47,108.41
5,98992.92188,99000.34375,99093.48438,98985.125,207,-7.42,-100.56,7.8,-93.14,15.22,108.36
6,98992.94531,99000.27344,99093.23438,98985.11719,212,-7.33,-100.29,7.83,-92.96,15.16,108.12
7,98992.96875,99000.47656,99093.24219,98985.01563,204,-7.51,-100.27,7.95,-92.77,15.46,108.23
8,98993.00781,99000.51563,99093.22656,98985.28906,208,-7.51,-100.22,7.72,-92.71,15.23,107.94
9,98993.07031,99000.60156,99093.40625,98985.23438,207,-7.53,-100.34,7.84,-92.8,15.37,108.17
10,98993.16406,99000.51563,99093.16406,98985.27344,209,-7.35,-100,7.89,-92.65,15.24,107.89
Oct 22 2021 16:41:08,flow rate=0.33,N=5,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99029.17188,99026.73438,99117.88281,98983.02344,13,2.44,-88.71,46.15,-91.15,43.71,134.86
2,99029.13281,99026.125,99117.71094,98983.125,170,3.01,-88.58,46.01,-91.59,43,134.59
3,99029.67188,99026.23438,99117.91406,98983.125,207,3.44,-88.24,46.55,-91.68,43.11,134.79
4,99029.14063,99026.19531,99118.23438,98983.36719,208,2.95,-89.09,45.77,-92.04,42.83,134.87
5,99029.64063,99026.58594,99118.21094,98983.55469,211,3.05,-88.57,46.09,-91.62,43.03,134.66
mu,36.515625,25.835937,24.742187,-1.898438,199,,,,,,
sd,0.262272,0.278451,0.218331,0.146158,19.41,,,,,,
Q,0.42705,0.286089,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
new tube diffuser on output,,,,,,,,,,,
Oct 22 2021 16:41:56,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,98992.25781,98999.98438,99093.25781,98984.28125,9,-7.73,-101,7.98,-93.27,15.7,108.98
2,98992.375,99000.10938,99093.28906,98984.42188,184,-7.73,-100.91,7.95,-93.18,15.69,108.87
3,98992.53906,98999.96875,99093.49219,98984.32813,207,-7.43,-100.95,8.21,-93.52,15.64,109.16
4,98992.40625,98999.94531,99093.35938,98984.38281,207,-7.54,-100.95,8.02,-93.41,15.56,108.98
5,98992.4375,99000.04688,99093.26563,98984.34375,208,-7.61,-100.83,8.09,-93.22,15.7,108.92
6,98992.16406,98999.91406,99092.875,98984.30469,207,-7.75,-100.71,7.86,-92.96,15.61,108.57
7,98992.04688,98999.625,99092.22656,98983.22656,208,-7.58,-100.18,8.82,-92.6,16.4,109
8,98990.74219,98998.30469,99091.52344,98982.55469,207,-7.56,-100.78,8.19,-93.22,15.75,108.97
9,98991.0625,98998.67188,99091.99219,98983.19531,207,-7.61,-100.93,7.87,-93.32,15.48,108.8
10,98991.70313,98999.32031,99092.54688,98983.71875,208,-7.62,-100.84,7.98,-93.23,15.6,108.83
Oct 22 2021 16:41:56,flow rate=0.33,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99031.35156,99027.11719,99119.25,98984.28125,10,4.23,-87.9,47.07,-92.13,42.84,134.97
